experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR792MZV,ENCFF353FRG,HepG2,3xFLAG-MYRF,3371,0.94334,94.33399999999999
ENCSR000EGJ,ENCFF196VRG,K562,MYC,30137,0.943027,94.3027
ENCSR000EHA,ENCFF609UTS,K562,TBP,19870,0.942828,94.2828
ENCSR286PCG,ENCFF619KWZ,K562,ZBED1,5347,0.942211,94.2211
ENCSR101FJS,ENCFF074ARU,HepG2,TBL1XR1,8041,0.942171,94.2171
ENCSR000BRH,ENCFF112SWI,GM12878,MTA3,14010,0.942041,94.2041
ENCSR000DRP,ENCFF116XHX,GM12873,CTCF,49569,0.941778,94.1778
ENCSR000EFV,ENCFF481AOS,K562,MAX,29908,0.941454,94.1454
ENCSR000EGA,ENCFF117UOA,K562,TBL1XR1,5148,0.941336,94.1336
ENCSR076YPO,ENCFF666MKU,K562,RNF2,9465,0.941152,94.1152
ENCSR000BPJ,ENCFF101MTI,K562,CTCF,41531,0.940623,94.0623
ENCSR863KUB,ENCFF357AHH,K562,TCF7,5197,0.940543,94.0543
ENCSR953DVM,ENCFF008DYZ,K562,E2F8,9914,0.940387,94.03869999999999
ENCSR936XTK,ENCFF921MFR,GM12878,ZNF143,23316,0.940299,94.0299
ENCSR491EBY,ENCFF377AEV,K562,ARID2,7401,0.940278,94.0278
ENCSR808FFI,ENCFF589EKK,HepG2,3xFLAG-ZKSCAN8,11545,0.940147,94.01469999999999
ENCSR000BNR,ENCFF183ZNB,H1-hESC,HDAC2,6657,0.940063,94.0063
ENCSR000BQC,ENCFF766ZRX,endothelial cell of umbilical vein,POLR2AphosphoS5,30582,0.940063,94.0063
ENCSR857PBV,ENCFF084MBH,22Rv1,CTCF,87901,0.939477,93.9477
ENCSR135ANT,ENCFF182QJW,MCF-7,NRF1,5550,0.939459,93.94590000000001
ENCSR000BMH,ENCFF938BND,K562,YY1,7579,0.939438,93.9438
ENCSR000BJK,ENCFF883BHO,HepG2,GABPA,7522,0.938846,93.88459999999999
ENCSR697CUP,ENCFF471NRX,MCF-7,HCFC1,10239,0.938568,93.85679999999999
ENCSR085QEV,ENCFF023PLP,K562,NBN,13835,0.938562,93.8562
ENCSR000BID,ENCFF373FUS,HepG2,BHLHE40,2824,0.938385,93.8385
ENCSR000BQO,ENCFF402BIZ,A549,FOSL2,30683,0.938109,93.8109
ENCSR000DZW,ENCFF465IMC,GM12878,RFX5,4607,0.937921,93.7921
ENCSR643VTW,ENCFF300RMI,K562,SMARCA4,5732,0.937718,93.7718
ENCSR000ATR,ENCFF806GBQ,H1-hESC,SAP30,623,0.9374,93.74
ENCSR000BLZ,ENCFF276FAU,SK-N-SH,YY1,21331,0.937228,93.72279999999999
ENCSR502OEK,ENCFF667LOH,K562,ELF1,13453,0.937114,93.7114
ENCSR157CEN,ENCFF303SHI,HepG2,3xFLAG-ZNF205,20024,0.936876,93.6876
ENCSR562POI,ENCFF846OVB,HepG2,3xFLAG-THAP11,36606,0.936841,93.6841
ENCSR000DMF,ENCFF155PUW,LNCaP clone FGC,CTCF,47398,0.936537,93.6537
ENCSR000AHF,ENCFF723ODO,MCF-7,TAF1,7400,0.936216,93.6216
ENCSR000DMQ,ENCFF130MLE,MCF-7,MYC,31857,0.936215,93.6215
ENCSR589SNT,ENCFF945DTV,HepG2,3xFLAG-TFE3,24013,0.936076,93.6076
ENCSR125DAD,ENCFF284NPD,HepG2,3xFLAG-MLX,15628,0.93582,93.582
ENCSR019NPF,ENCFF132QXR,HepG2,3xFLAG-SP5,22529,0.935461,93.5461
ENCSR000BNH,ENCFF991GTC,H1-hESC,CTCF,44769,0.935312,93.5312
ENCSR860UHK,ENCFF013PBU,GM12878,CBFB,20413,0.93509,93.509
ENCSR658WFQ,ENCFF852MFA,K562,NCOA1,16049,0.935012,93.5012
ENCSR853ADA,ENCFF536CTX,HepG2,NRF1,14369,0.934651,93.4651
ENCSR016BMM,ENCFF977MOV,liver,TAF1,14402,0.934384,93.4384
ENCSR562NOP,ENCFF745PYF,DOHH2,EZH2phosphoT487,3058,0.934271,93.4271
ENCSR138FUZ,ENCFF876CPX,K562,RNF2,2732,0.933382,93.3382
ENCSR000BKC,ENCFF613DVF,H1-hESC,ATF3,5043,0.933373,93.3373
ENCSR940MHE,ENCFF002VCK,MCF-7,MBD2,6846,0.933246,93.3246
ENCSR473SUA,ENCFF273CDX,A549,ESRRA,2006,0.9332,93.32000000000001
ENCSR000BSU,ENCFF918BVV,MCF-7,JUND,10788,0.933166,93.31660000000001
ENCSR000BQB,ENCFF791OTS,endothelial cell of umbilical vein,POLR2A,24584,0.933005,93.3005
ENCSR856JJB,ENCFF413TLE,RWPE2,CTCF,102610,0.93295,93.29499999999999
ENCSR541AMF,ENCFF110KJR,SK-N-SH,CTCF,57609,0.932927,93.2927
ENCSR439WAF,ENCFF394KMU,GM12878,E4F1,4726,0.932924,93.2924
ENCSR207PFI,ENCFF907JXH,GM12878,ZBED1,9443,0.932649,93.2649
ENCSR465XQW,ENCFF058WUU,MCF-7,ZNF217,25904,0.932173,93.21730000000001
ENCSR218GSN,ENCFF190DJC,HEK293T,ZFX,21134,0.932147,93.2147
ENCSR000DMM,ENCFF789EME,MCF-7,MYC,23486,0.932045,93.2045
ENCSR376WCJ,ENCFF403GZC,K562,IRF2,6263,0.931981,93.1981
ENCSR212YKD,ENCFF595JHJ,GM12878,SKIL,15122,0.931821,93.1821
ENCSR265ARE,ENCFF766AVW,VCaP,CTCF,85362,0.931679,93.1679
ENCSR590KEQ,ENCFF585SRV,GM12878,ARNT,11905,0.931541,93.1541
ENCSR000DPC,ENCFF585ZFE,MCF 10A,POLR2A,27601,0.930582,93.0582
ENCSR000BMC,ENCFF176NJZ,HepG2,HDAC2,18332,0.930504,93.0504
ENCSR184SVO,ENCFF906KLB,HepG2,3xFLAG-ZBTB26,13547,0.930464,93.04639999999999
ENCSR784VUY,ENCFF950MBW,H1-hESC,RNF2,6974,0.930456,93.0456
ENCSR560BUE,ENCFF047HAG,MCF-7,CTCF,54719,0.930335,93.0335
ENCSR000BTK,ENCFF387FKQ,HL-60,GABPA,8654,0.930321,93.0321
ENCSR331ORD,ENCFF721SZO,HepG2,3xFLAG-CREB1,24440,0.930074,93.00739999999999
ENCSR000EGS,ENCFF838NIW,K562,MYC,27659,0.929752,92.9752
ENCSR000ECA,ENCFF678SSA,H1-hESC,JUN,2505,0.929741,92.9741
ENCSR819ATC,ENCFF500JAL,GM12878,MYB,2957,0.929658,92.9658
ENCSR031ING,ENCFF867MGI,HepG2,3xFLAG-KDM6A,12962,0.929563,92.9563
