experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR437GBJ,ENCFF899PKC,GM12878,NFATC3,18581,0.897799,89.7799
ENCSR000DMN,ENCFF542JWQ,MCF-7,POLR2A,25936,0.897748,89.7748
ENCSR000BQY,ENCFF613YPH,K562,PML,17434,0.897098,89.7098
ENCSR000FAV,ENCFF181PHR,K562,STAT1,969,0.896801,89.6801
ENCSR831EIW,ENCFF075HHT,HEK293T,FOXM1,3235,0.896754,89.67540000000001
ENCSR000BHI,ENCFF689QHF,A549,POLR2A,26918,0.896723,89.6723
ENCSR431TLD,ENCFF479PEX,MCF-7,SMARCE1,13544,0.896633,89.6633
ENCSR998AJK,ENCFF762NRN,K562,NRF1,36026,0.89663,89.66300000000001
ENCSR000BNV,ENCFF190IHG,K562,MEF2A,996,0.896586,89.65859999999999
ENCSR343ELW,ENCFF299RMS,K562,LEF1,14005,0.89618,89.618
ENCSR917QNE,ENCFF208GHS,liver,RAD21,59377,0.896138,89.6138
ENCSR138YYY,ENCFF589ZQU,K562,GABPB1,29973,0.895306,89.5306
ENCSR000BGY,ENCFF393ZEE,GM12878,IRF4,19718,0.894715,89.4715
ENCSR072GJV,ENCFF470INJ,HepG2,3xFLAG-HMG20A,16842,0.89449,89.449
ENCSR972ZBV,ENCFF953PPE,K562,ATF7,36568,0.894306,89.4306
ENCSR430JGJ,ENCFF740UST,HepG2,3xFLAG-THRB,11989,0.893235,89.3235
ENCSR594SMP,ENCFF762GKR,K562,PHF20,12990,0.893226,89.3226
ENCSR560SEP,ENCFF024NIL,HepG2,3xFLAG-RXRB,36023,0.893013,89.3013
ENCSR455DOO,ENCFF581CQM,HepG2,3xFLAG-RCOR2,20868,0.892946,89.2946
ENCSR000EZW,ENCFF058LTT,K562,JUN,5218,0.892679,89.2679
ENCSR000DOS,ENCFF013XMV,MCF 10A,MYC,39361,0.892584,89.25840000000001
ENCSR822AHX,ENCFF127UTH,GM12878,IKZF2,37107,0.89215,89.215
ENCSR000BJH,ENCFF315MWD,GM12891,PAX5,6368,0.89196,89.196
ENCSR000EZT,ENCFF090VAI,K562,JUN,7641,0.891114,89.1114
ENCSR018MQH,ENCFF058ADL,MCF-7,ZNF579,9755,0.890825,89.0825
ENCSR000EUJ,ENCFF045OQX,GM12878,IKZF1,12618,0.890712,89.07119999999999
ENCSR000EWM,ENCFF484BSF,K562,GATA1,2993,0.890411,89.0411
ENCSR000EGL,ENCFF736MBF,K562,IRF1,10365,0.8904,89.03999999999999
ENCSR000BLP,ENCFF448ZSO,K562,MAX,53289,0.890371,89.03710000000001
ENCSR000BIT,ENCFF264OCQ,H1-hESC,TCF12,9211,0.889697,88.96969999999999
ENCSR145XQO,ENCFF143KGD,GM12878,HDGF,17790,0.88932,88.932
ENCSR000BHG,ENCFF948WVM,A549,NR3C1,10792,0.889085,88.9085
ENCSR000BHH,ENCFF209ZSP,A549,POLR2A,30197,0.888863,88.88629999999999
ENCSR497JLX,ENCFF790ENL,HepG2,3xFLAG-TEAD1,33801,0.888228,88.8228
ENCSR547LKC,ENCFF334TMJ,K562,GATAD2B,9103,0.888169,88.8169
ENCSR000BHU,ENCFF141JYN,HepG2,RXRA,12195,0.887905,88.79050000000001
ENCSR574XEO,ENCFF909TDT,K562,NUFIP1,2300,0.887826,88.7826
ENCSR000BLW,ENCFF023LJV,HepG2,EP300,26070,0.887534,88.7534
ENCSR234VCE,ENCFF189LCD,MCF-7,DPF2,15312,0.887474,88.7474
ENCSR000EGV,ENCFF819MHF,K562,BHLHE40,25605,0.887131,88.7131
ENCSR807BGP,ENCFF843MEU,K562,MTA1,10529,0.886694,88.6694
ENCSR331HPA,ENCFF453CIO,GM12878,GABPA,6538,0.88651,88.651
ENCSR000DWH,ENCFF071JZI,MCF-7,CTCF,59679,0.886308,88.6308
ENCSR000BHN,ENCFF374UIH,H1-hESC,POLR2A,33251,0.885988,88.5988
ENCSR000EGP,ENCFF086USH,K562,ZNF143,24180,0.88598,88.598
ENCSR000EHO,ENCFF714WNT,K562,SMARCA4,2383,0.885858,88.5858
ENCSR000BHP,ENCFF630IDY,HepG2,FOSL2,20239,0.885815,88.5815
ENCSR519WMW,ENCFF102TZK,K562,SMARCC2,12528,0.885696,88.56960000000001
ENCSR000ARO,ENCFF767SOM,fibroblast of lung,EZH2,12243,0.885649,88.56490000000001
ENCSR155KHM,ENCFF805MAQ,K562,ARNT,7837,0.885415,88.5415
ENCSR000ECE,ENCFF998MYK,H1-hESC,RAD21,57081,0.885303,88.5303
ENCSR987MTA,ENCFF770FCH,GM12878,BHLHE40,35289,0.885092,88.50919999999999
ENCSR000EBQ,ENCFF429LKK,H1-hESC,BACH1,12496,0.884283,88.42830000000001
ENCSR173ZVL,ENCFF863OPI,GM12878,ZNF592,6377,0.884115,88.4115
ENCSR197ALX,ENCFF086TFH,K562,HDGF,8912,0.882855,88.2855
ENCSR009MBP,ENCFF354YJR,GM12878,HSF1,2202,0.882834,88.2834
ENCSR000BRN,ENCFF646JVP,GM12878,NFIC,31802,0.882586,88.2586
ENCSR000BNG,ENCFF468GCV,GM12878,MEF2C,4289,0.882257,88.22569999999999
ENCSR654CQU,ENCFF117NUA,K562,SNIP1,1689,0.882179,88.2179
ENCSR571PDN,ENCFF135EPJ,HepG2,3xFLAG-SSRP1,11589,0.881871,88.1871
ENCSR874AFU,ENCFF201JCN,GM12878,IKZF1,51763,0.881073,88.1073
ENCSR948QLZ,ENCFF191MYC,K562,CBX1,9495,0.88099,88.099
ENCSR800QIT,ENCFF860SGT,HepG2,HNF1A,13170,0.88079,88.079
ENCSR000ARE,ENCFF633TFF,mammary epithelial cell,EZH2,7471,0.880605,88.06049999999999
ENCSR000BIF,ENCFF213VYK,GM12878,POLR2AphosphoS5,32802,0.880434,88.0434
ENCSR737LTZ,ENCFF423GUZ,K562,MYNN,11583,0.879651,87.96509999999999
ENCSR000EGC,ENCFF170JJV,K562,RCOR1,5042,0.879611,87.9611
ENCSR530XQI,ENCFF445RNG,K562,L3MBTL2,45968,0.879503,87.9503
ENCSR387UWP,ENCFF410AIK,K562,HDAC1,45778,0.879003,87.9003
ENCSR137ZMQ,ENCFF418BWE,K562,REST,34990,0.87888,87.888
ENCSR711VWL,ENCFF493LXC,K562,HDAC1,32185,0.8778,87.78
ENCSR000FBC,ENCFF443IZC,K562,STAT2,2021,0.877783,87.7783
ENCSR675LRO,ENCFF745CJF,K562,MLLT1,8848,0.877599,87.7599
ENCSR000EGR,ENCFF124MXH,K562,NFYA,3586,0.877301,87.7301
ENCSR961WLZ,ENCFF299JTM,HepG2,3xFLAG-SOX5,29139,0.877072,87.7072
ENCSR000BMR,ENCFF757ZGV,K562,POLR2A,29996,0.876784,87.6784
ENCSR000BHZ,ENCFF554HGM,GM12892,POLR2A,26800,0.87653,87.653
ENCSR000BPC,ENCFF007PNW,PFSK-1,POLR2AphosphoS5,21987,0.876018,87.6018
ENCSR000BTL,ENCFF445GRG,HL-60,POLR2AphosphoS5,30178,0.875472,87.5472
ENCSR826YMT,ENCFF655FUP,HepG2,3xFLAG-SMAD4,42538,0.875429,87.5429
ENCSR832OGB,ENCFF870ESB,K562,LEF1,2801,0.875402,87.5402
ENCSR115PIK,ENCFF577PUV,HepG2,3xFLAG-MIER2,16789,0.875395,87.5395
ENCSR760UVO,ENCFF512PBA,K562,KLF16,16116,0.874162,87.4162
ENCSR230ZWH,ENCFF556AEV,liver,RAD21,78782,0.874134,87.4134
ENCSR000EBW,ENCFF879MMQ,H1-hESC,ZNF143,35287,0.874033,87.4033
ENCSR131FFJ,ENCFF114RVY,GM23248,EZH2,7582,0.873912,87.3912
ENCSR000BIK,ENCFF694NSV,GM12891,POLR2A,23875,0.873508,87.35079999999999
ENCSR000EFY,ENCFF272CWK,K562,ARID3A,10618,0.873422,87.3422
ENCSR514VYD,ENCFF008DRS,GM12878,NR2F1,33726,0.873273,87.3273
ENCSR000EHN,ENCFF993YKH,K562,SMARCB1,2082,0.873199,87.31989999999999
ENCSR000AQG,ENCFF660FBQ,K562,HDAC2,3910,0.87289,87.289
ENCSR343IFJ,ENCFF259WDV,K562,CC2D1A,18659,0.872876,87.2876
ENCSR000BHA,ENCFF800HNH,GM12878,BCL11A,16552,0.871919,87.1919
ENCSR000EGN,ENCFF826HDC,K562,JUND,41536,0.871389,87.13889999999999
ENCSR861JUQ,ENCFF578XIP,GM12878,FOXK2,4949,0.871085,87.1085
ENCSR157TCS,ENCFF355IGX,K562,SMARCE1,23430,0.87102,87.102
ENCSR024LKA,ENCFF608YGZ,K562,HDAC3,6210,0.87037,87.03699999999999
ENCSR442VBJ,ENCFF659LXK,MCF-7,RAD51,5960,0.870302,87.03020000000001
ENCSR391JII,ENCFF391WQH,MCF-7,RCOR1,6792,0.869994,86.99940000000001
ENCSR000BRS,ENCFF056DZM,K562,NR2F2,16874,0.8698,86.98
ENCSR402JAC,ENCFF975PZQ,MCF-7,ZNF574,2321,0.869022,86.9022
ENCSR000AVA,ENCFF100GWW,H1-hESC,CHD7,3431,0.868843,86.8843
ENCSR605YWG,ENCFF485YDQ,HepG2,TBX3,3650,0.868767,86.8767
ENCSR000DOZ,ENCFF854FKK,MCF 10A,STAT3,9613,0.868199,86.8199
ENCSR000EVU,ENCFF722HUF,endothelial cell of umbilical vein,FOS,29354,0.868195,86.8195
ENCSR196HGZ,ENCFF032ACV,liver,JUND,16542,0.867791,86.7791
ENCSR469WII,ENCFF446BHY,GM12878,BMI1,10059,0.867681,86.7681
ENCSR925BFV,ENCFF444KHX,HepG2,3xFLAG-GATAD2A,54510,0.867547,86.7547
ENCSR091JXL,ENCFF558HHY,K562,HES1,8278,0.866755,86.6755
ENCSR000BJE,ENCFF233IWJ,GM12878,SIX5,4544,0.866197,86.6197
ENCSR636EYA,ENCFF345ALQ,MCF-7,CTBP1,21843,0.866044,86.6044
ENCSR994YLZ,ENCFF805MUO,liver,YY1,31221,0.865827,86.5827
ENCSR000BKB,ENCFF131JIX,GM12878,MEF2A,18817,0.865707,86.5707
ENCSR177VFS,ENCFF230RZX,GM12878,MEF2B,37366,0.865305,86.5305
ENCSR000BGU,ENCFF210IRE,GM12878,EBF1,31637,0.865284,86.5284
ENCSR000EWG,ENCFF440KMN,K562,GATA2,4464,0.864919,86.4919
ENCSR226QQM,ENCFF695HIB,HepG2,3xFLAG-NFIA,22555,0.863356,86.3356
ENCSR000BQP,ENCFF015OEW,A549,REST,15846,0.863057,86.3057
ENCSR182QWU,ENCFF113GDJ,HepG2,3xFLAG-ZNF3,7998,0.862966,86.2966
ENCSR563YDA,ENCFF428RTI,K562,HDGF,7810,0.862484,86.2484
ENCSR000DZG,ENCFF244ZHS,GM12878,EP300,16510,0.862144,86.2144
ENCSR000DYP,ENCFF324LIJ,GM12878,ZNF384,10652,0.861528,86.1528
ENCSR439OCL,ENCFF776NRP,K562,ZNF407,2863,0.861334,86.13340000000001
ENCSR000BHC,ENCFF362VQO,GM12878,ZBTB33,2687,0.860067,86.00670000000001
ENCSR798IJO,ENCFF863TTH,HepG2,3xFLAG-NR2F6,35145,0.858842,85.88419999999999
ENCSR211LTF,ENCFF237YNN,K562,EGR1,26188,0.858218,85.82180000000001
ENCSR000BPI,ENCFF214TVS,HepG2,POLR2AphosphoS5,28625,0.857362,85.7362
ENCSR617RSQ,ENCFF429NNH,PC-3,EZH2phosphoT487,3129,0.856504,85.6504
ENCSR482TWQ,ENCFF835YGE,GM12878,RAD51,14121,0.856455,85.6455
ENCSR175SZH,ENCFF148GRM,K562,ZSCAN29,12239,0.856361,85.6361
ENCSR000BIZ,ENCFF795JAX,Ishikawa,ESR1,2581,0.855482,85.5482
ENCSR219BXP,ENCFF181NNL,K562,DPF2,14812,0.85478,85.478
ENCSR720HUL,ENCFF784XVN,K562,E2F1,19500,0.854718,85.4718
ENCSR322CFO,ENCFF319TPR,K562,ZEB2,17110,0.853711,85.3711
ENCSR000BKR,ENCFF824ANA,K562,POLR2AphosphoS5,25272,0.853079,85.3079
ENCSR201GGK,ENCFF928SXE,HepG2,3xFLAG-NFIL3,37265,0.852355,85.2355
ENCSR778QLY,ENCFF471EGU,HEK293T,ELF4,4856,0.852348,85.23479999999999
ENCSR115BBC,ENCFF151TIK,K562,ASH1L,4475,0.852067,85.2067
ENCSR249BHQ,ENCFF277ZUZ,K562,ZNF592,29704,0.852006,85.20060000000001
ENCSR075HTM,ENCFF672AGD,K562,HDAC2,23238,0.851924,85.1924
ENCSR330EXS,ENCFF627GPM,GM12878,RBBP5,1827,0.851669,85.1669
ENCSR006WUS,ENCFF920HMY,MCF-7,NEUROD1,4207,0.851438,85.1438
ENCSR000DMO,ENCFF962IZR,MCF-7,CTCF,59865,0.850981,85.0981
ENCSR662EOU,ENCFF554QVX,HepG2,3xFLAG-NR2F1,11023,0.850767,85.0767
ENCSR000BJM,ENCFF442SGT,HepG2,POLR2A,27047,0.850667,85.0667
ENCSR736BUG,ENCFF668CLC,liver,EGR1,17525,0.850271,85.0271
ENCSR759BDG,ENCFF253LJN,HepG2,3xFLAG-BCL6,40103,0.849612,84.9612
ENCSR011NOZ,ENCFF467REJ,K562,ZNF407,3255,0.848233,84.8233
ENCSR764CZW,ENCFF204RPR,GM12878,ZNF217,14135,0.847966,84.7966
ENCSR928API,ENCFF409DRF,HepG2,RFX1,4333,0.847911,84.7911
ENCSR000BGI,ENCFF310XNW,GM12878,USF1,7080,0.847599,84.7599
ENCSR092OVN,ENCFF608OHW,HepG2,3xFLAG-FOXA3,46651,0.847506,84.75059999999999
ENCSR004GKA,ENCFF892BNB,K562,ZEB2,21708,0.846508,84.6508
ENCSR710WLO,ENCFF557SFL,K562,MGA,32721,0.844931,84.4931
ENCSR325RLL,ENCFF779AZS,K562,POLR2B,18505,0.843286,84.3286
ENCSR782WRO,ENCFF753LFL,K562,BMI1,2149,0.842718,84.2718
ENCSR000BRI,ENCFF017CJU,GM12878,RUNX3,64289,0.841824,84.1824
ENCSR954WVZ,ENCFF237XLE,MCF-7,ESRRA,8371,0.840999,84.0999
ENCSR000EGE,ENCFF433PKW,K562,EP300,23343,0.840937,84.0937
ENCSR701AQS,ENCFF856LBK,MCF-7,ZNF592,5178,0.840479,84.0479
ENCSR000BJR,ENCFF567LEJ,A549,NR3C1,7383,0.839767,83.97670000000001
ENCSR000BHF,ENCFF009APP,A549,NR3C1,24479,0.839005,83.9005
ENCSR711XNY,ENCFF788VTS,GM12878,PKNOX1,27259,0.838879,83.8879
ENCSR444LIN,ENCFF852MHW,HepG2,TCF7,14600,0.838425,83.8425
ENCSR486IFJ,ENCFF038PPG,K562,ESRRA,22542,0.838124,83.8124
ENCSR338MMB,ENCFF606DWB,liver,NR2F2,27316,0.837751,83.77510000000001
ENCSR000BNJ,ENCFF765IVS,HepG2,HNF4G,18633,0.836795,83.67949999999999
ENCSR000BIA,ENCFF543ITW,GM12892,POLR2AphosphoS5,25947,0.836551,83.6551
ENCSR014YCR,ENCFF667FTY,GM12878,ATF7,38252,0.836401,83.64009999999999
ENCSR000BQL,ENCFF450EDU,GM12878,NFATC1,13983,0.836301,83.6301
ENCSR429QPP,ENCFF805OCR,K562,FOXM1,13360,0.835629,83.5629
ENCSR889GGV,ENCFF336GTB,bipolar neuron,POLR2AphosphoS5,46972,0.83537,83.53699999999999
ENCSR788RSW,ENCFF251SPU,K562,SOX6,27683,0.834844,83.48440000000001
ENCSR362NWP,ENCFF218UXO,HepG2,ZNF24,5789,0.834168,83.4168
ENCSR000BIL,ENCFF633LKQ,GM12891,POLR2AphosphoS5,23768,0.833432,83.3432
ENCSR382MOM,ENCFF631ZVW,liver,YY1,47433,0.83288,83.288
ENCSR087NSR,ENCFF914VTC,HepG2,3xFLAG-KDM1A,12898,0.832145,83.2145
ENCSR369YUK,ENCFF277LHR,HepG2,3xFLAG-FOXP1,24556,0.831446,83.1446
ENCSR000BRD,ENCFF791VHV,A549,FOXA1,27176,0.829813,82.9813
ENCSR487CPI,ENCFF132YJB,HepG2,3xFLAG-ZFP64,10211,0.829008,82.9008
ENCSR000ECD,ENCFF883VXZ,H1-hESC,USF2,7999,0.828604,82.8604
ENCSR587OQL,ENCFF333IXA,K562,SMARCA4,29904,0.828217,82.82169999999999
ENCSR000BSK,ENCFF627FTK,SK-N-SH,JUND,35575,0.827941,82.7941
ENCSR715UCI,ENCFF235PWV,HepG2,3xFLAG-SOX13,41616,0.827422,82.7422
ENCSR000BNM,ENCFF270QLC,K562,TAF7,408,0.82598,82.598
ENCSR000BJC,ENCFF648ULE,Ishikawa,NR3C1,9830,0.825432,82.5432
ENCSR867WPH,ENCFF247UJX,liver,REST,33176,0.824271,82.4271
ENCSR000EFO,ENCFF317FDT,K562,CUX1,5876,0.823009,82.3009
ENCSR171FUX,ENCFF997KQI,HepG2,FOXK2,7652,0.822138,82.2138
ENCSR742IDN,ENCFF477IDC,K562,NR2C1,11763,0.821729,82.1729
ENCSR739IHN,ENCFF980GMH,GM12878,TBX21,30882,0.821482,82.1482
ENCSR518WPL,ENCFF441LKT,HepG2,NR2F6,29106,0.821377,82.1377
ENCSR000BIC,ENCFF417QTQ,H1-hESC,POLR2AphosphoS5,25958,0.821327,82.1327
ENCSR168SMX,ENCFF643EJZ,liver,NR2F2,38507,0.821149,82.1149
ENCSR552XSN,ENCFF394FTH,GM12878,MLLT1,43418,0.821065,82.10650000000001
ENCSR521IID,ENCFF457PHY,liver,MAX,29953,0.820919,82.0919
ENCSR000BGD,ENCFF794VYB,GM12878,POLR2A,43580,0.82033,82.033
ENCSR000ARI,ENCFF054DHS,HepG2,EZH2,6044,0.820152,82.0152
ENCSR376FMN,ENCFF133GIM,HepG2,EHMT2,6867,0.819863,81.9863
ENCSR205FOW,ENCFF655AOY,liver,ATF3,17056,0.819829,81.9829
ENCSR419ODQ,ENCFF236IMY,MCF-7,ZNF507,2303,0.8198,81.98
ENCSR503VTG,ENCFF908YUA,MCF-7,ZNF24,9499,0.818402,81.8402
ENCSR501DKS,ENCFF555ECR,GM12878,TCF7,8268,0.817973,81.79729999999999
ENCSR715CCR,ENCFF315QEI,K562,DPF2,40379,0.816216,81.6216
ENCSR791AGT,ENCFF721RTR,HepG2,ZNF24,3564,0.815937,81.5937
ENCSR000EGO,ENCFF436JKE,K562,RFX5,2310,0.814719,81.47189999999999
ENCSR000BMF,ENCFF698NYD,SK-N-SH,USF1,20628,0.814572,81.4572
ENCSR000BLL,ENCFF723ESM,T47D,ESR1,1455,0.814433,81.4433
ENCSR976TBC,ENCFF207EGF,GM12878,IRF5,1687,0.810907,81.0907
ENCSR893WSB,ENCFF286DHJ,K562,HDAC2,24134,0.810806,81.0806
ENCSR000BMT,ENCFF722JFZ,H1-hESC,NANOG,5560,0.810432,81.0432
ENCSR293QAR,ENCFF006OFJ,GM12878,MTA2,38291,0.809276,80.9276
ENCSR516HUP,ENCFF517PUF,liver,ZBTB33,19284,0.808753,80.87530000000001
ENCSR000EVW,ENCFF756UDU,endothelial cell of umbilical vein,GATA2,23110,0.808611,80.8611
ENCSR837GTK,ENCFF172IAS,liver,JUND,34028,0.808599,80.8599
ENCSR000BLF,ENCFF468OUJ,HepG2,HNF4A,23109,0.806396,80.6396
ENCSR386YIH,ENCFF842FFW,liver,SP1,55647,0.805776,80.5776
ENCSR000EHG,ENCFF602YIK,K562,USF2,3432,0.805653,80.5653
ENCSR431XGJ,ENCFF091EWT,K562,PYGO2,1992,0.805221,80.5221
ENCSR107GRP,ENCFF037UMP,K562,MLLT1,20073,0.805111,80.5111
ENCSR633EIC,ENCFF270VUX,K562,3xFLAG-PBX2,3898,0.805028,80.5028
ENCSR000BIQ,ENCFF510ZPK,H1-hESC,SIX5,3015,0.804643,80.4643
ENCSR051OUX,ENCFF129NQC,K562,NFATC3,9997,0.804441,80.44409999999999
ENCSR798ILC,ENCFF032MJB,K562,NCOR1,24277,0.8043,80.43
ENCSR000BOT,ENCFF271PYC,HepG2,REST,12066,0.803746,80.3746
ENCSR000BRK,ENCFF779ZST,K562,TEAD4,30527,0.802961,80.29610000000001
ENCSR803EKW,ENCFF989AVX,K562,NCOA2,2437,0.802216,80.22160000000001
ENCSR000BQI,ENCFF017OFK,HepG2,CEBPB,16989,0.801931,80.1931
ENCSR497VFH,ENCFF947YGS,K562,ZNF639,4347,0.801472,80.1472
ENCSR000DOQ,ENCFF103IPZ,MCF 10A,STAT3,43306,0.801113,80.1113
ENCSR563FBT,ENCFF209WAQ,A549,USF2,9841,0.800325,80.0325
ENCSR502GAX,ENCFF260DMD,HepG2,3xFLAG-ZNF652,11709,0.799727,79.9727
ENCSR000BOZ,ENCFF256ECY,SK-N-SH,REST,13317,0.798829,79.8829
ENCSR948VFL,ENCFF589RYN,K562,IKZF1,42435,0.798633,79.86330000000001
ENCSR000EXP,ENCFF115XBG,erythroblast,GATA1,29204,0.798144,79.81439999999999
ENCSR735KEY,ENCFF741PQE,liver,FOXA1,15162,0.798048,79.8048
ENCSR760UKJ,ENCFF484AVP,HEK293T,ARNT,4276,0.797942,79.7942
ENCSR924TVL,ENCFF112WBJ,MCF-7,RFX5,9362,0.797586,79.7586
ENCSR162IEM,ENCFF061UNO,K562,MYBL2,3421,0.797428,79.7428
ENCSR786OQY,ENCFF498TJW,K562,ZBTB5,2984,0.797252,79.7252
ENCSR000EUZ,ENCFF294RHB,HEK293,TRIM28,10544,0.796851,79.68509999999999
ENCSR000BRR,ENCFF916OUG,K562,STAT5A,9624,0.796654,79.66539999999999
ENCSR000ECF,ENCFF131CHB,H1-hESC,RFX5,1489,0.795836,79.5836
ENCSR000BVO,ENCFF081YPW,T47D,JUND,7062,0.795525,79.55250000000001
ENCSR330OEO,ENCFF221BCO,GM12878,HDAC2,1497,0.794923,79.4923
ENCSR893QWP,ENCFF516VNN,liver,REST,16215,0.793525,79.3525
ENCSR066TET,ENCFF618FOL,MCF-7,RFX1,23224,0.791853,79.1853
ENCSR000DNM,ENCFF746RQR,GM12878,NFYB,7923,0.791746,79.1746
ENCSR426URK,ENCFF646AZP,K562,AFF1,14106,0.789735,78.9735
ENCSR986XYK,ENCFF795JGA,MCF-7,PKNOX1,23292,0.78894,78.89399999999999
ENCSR639IIZ,ENCFF957NPF,HepG2,3xFLAG-CEBPG,41751,0.787837,78.7837
ENCSR000EWN,ENCFF607PKH,K562,ZNF263,3894,0.787365,78.73649999999999
ENCSR000BIV,ENCFF814WQX,H1-hESC,SRF,4695,0.787007,78.7007
ENCSR101FJU,ENCFF295AZL,HepG2,ZNF384,14737,0.784149,78.4149
ENCSR024CNP,ENCFF522KCK,K562,EGR1,33003,0.783595,78.3595
ENCSR910JAI,ENCFF577EBU,K562,NCOR1,24146,0.782034,78.2034
ENCSR573OJP,ENCFF154YAG,MCF-7,NCOA3,4743,0.781995,78.1995
ENCSR000DPB,ENCFF718EJX,MCF 10A,STAT3,45991,0.781936,78.1936
ENCSR480LIS,ENCFF919URJ,liver,ATF3,24056,0.78018,78.018
ENCSR000EGD,ENCFF416UYQ,K562,BACH1,4397,0.776893,77.68929999999999
ENCSR000BRQ,ENCFF712GEQ,K562,CEBPB,15515,0.776474,77.6474
ENCSR395HWC,ENCFF214VWR,K562,IKZF1,48522,0.775648,77.5648
ENCSR000BQR,ENCFF975LFF,Ishikawa,ESR1,4054,0.77479,77.479
ENCSR970NKQ,ENCFF067JKB,K562,NR2F1,33326,0.77477,77.47699999999999
ENCSR924GXX,ENCFF111EXG,K562,PHB2,4624,0.772708,77.2708
ENCSR000BNI,ENCFF010NID,HepG2,FOXA2,16736,0.771212,77.1212
ENCSR659LJJ,ENCFF402JCS,A549,HDAC2,3341,0.770428,77.0428
ENCSR000EVD,ENCFF883YBP,HEK293,ZNF263,42584,0.769726,76.9726
ENCSR000DZQ,ENCFF188AYL,GM12878,EBF1,32981,0.768351,76.8351
ENCSR352QSB,ENCFF420GLO,liver,RXRA,48684,0.767747,76.7747
ENCSR707QWA,ENCFF951LYB,K562,NR2F6,16595,0.766375,76.6375
ENCSR385AHH,ENCFF941XDH,K562,ZNF24,12434,0.764195,76.4195
ENCSR757IIU,ENCFF912CZG,K562,HMBOX1,24314,0.764128,76.4128
ENCSR197WGI,ENCFF806CWX,IMR-90,NFE2L2,13345,0.763432,76.3432
ENCSR189YYK,ENCFF823ISD,GM12878,ZBTB40,11311,0.762532,76.25319999999999
ENCSR000EFP,ENCFF567XKS,K562,ZNF384,19121,0.762356,76.2356
ENCSR000BGQ,ENCFF198SPL,GM12878,SPI1,30624,0.76169,76.169
ENCSR337NWW,ENCFF499RWL,HepG2,HDAC2,3442,0.760604,76.0604
ENCSR801GJU,ENCFF027PQP,HepG2,CBX2,2382,0.760285,76.0285
ENCSR120MPG,ENCFF041AYU,K562,PRDM10,26788,0.759407,75.9407
ENCSR000BRT,ENCFF275XNU,K562,CBX3,18717,0.759203,75.9203
ENCSR979FQP,ENCFF476CLD,MCF-7,GATAD2B,5876,0.757658,75.7658
ENCSR113LAS,ENCFF299JOC,K562,MTA2,13653,0.757343,75.7343
ENCSR000BJD,ENCFF928YOZ,GM12878,RXRA,1500,0.757333,75.7333
ENCSR898XMH,ENCFF804BSI,K562,ZFP91,12280,0.755863,75.5863
ENCSR000EUL,ENCFF892GAT,GM12878,NR2C2,732,0.752732,75.2732
ENCSR189TRZ,ENCFF883AYB,K562,TCF12,10784,0.752411,75.2411
ENCSR000BRW,ENCFF528EDV,K562,TRIM28,7762,0.752255,75.2255
ENCSR000BGM,ENCFF895AOF,HepG2,USF1,19376,0.751342,75.13419999999999
ENCSR000BMO,ENCFF648VIL,HepG2,FOXA1,39643,0.751104,75.1104
ENCSR871TKJ,ENCFF302XKF,K562,THRAP3,2524,0.750396,75.0396
ENCSR000DOT,ENCFF981ZOK,MCF 10A,FOS,72344,0.75018,75.018
ENCSR822CCM,ENCFF771TNK,K562,ARID1B,47433,0.749984,74.9984
ENCSR426MDV,ENCFF710ZFM,K562,MIER1,6965,0.749462,74.94619999999999
ENCSR297GII,ENCFF185IMR,liver,HNF4G,21295,0.74811,74.811
ENCSR237VLT,ENCFF571NDF,K562,ZBTB40,27676,0.746531,74.6531
ENCSR000BJO,ENCFF388BTU,Panc1,REST,5965,0.746186,74.6186
ENCSR000EWI,ENCFF910AUJ,K562,SETDB1,3275,0.745038,74.5038
ENCSR041XML,ENCFF654JXR,GM12878,SRF,15926,0.744443,74.4443
ENCSR000BKT,ENCFF409EYL,K562,USF1,14182,0.744394,74.4394
ENCSR009TKN,ENCFF595VLA,SK-N-SH,RCOR1,25864,0.744355,74.4355
ENCSR072PWP,ENCFF989JWG,GM12878,ZNF24,11113,0.742914,74.2914
ENCSR000EFT,ENCFF875JHB,K562,GATA1,10936,0.742868,74.2868
ENCSR000BGT,ENCFF142FZS,GM12878,BATF,30089,0.740836,74.0836
ENCSR621ATC,ENCFF046NMM,K562,ZNF184,10112,0.738924,73.89240000000001
ENCSR115SMW,ENCFF804ARW,K562,PKNOX1,41823,0.738565,73.8565
ENCSR310NYI,ENCFF168JTA,liver,FOXA2,22750,0.738154,73.8154
ENCSR000EGF,ENCFF027TJN,K562,POLR2AphosphoS2,6897,0.735102,73.5102
ENCSR157CAU,ENCFF988ZSS,HepG2,ZKSCAN1,5801,0.732805,73.2805
ENCSR897MMC,ENCFF935SBO,GM12878,JUNB,31866,0.731814,73.1814
ENCSR798EGJ,ENCFF857EDP,A549,RNF2,2948,0.731343,73.1343
ENCSR524BUE,ENCFF691HAG,K562,RAD51,11534,0.730016,73.0016
ENCSR569XNP,ENCFF890YVJ,MCF-7,FOS,49349,0.729964,72.9964
ENCSR061DGF,ENCFF897LBK,GM23338,NANOG,8269,0.727778,72.7778
